id,name,shortName,type,typeClass,premium,premiumValue,cover,coverValue,policyTerm,paymentTerm,deathBenefit,maturityBenefit,taxBenefit,criticalIllness,premiumWaiver,surrenderValue,loanFacility,claimSettlement,suitabilityScore,match,color,goals,risk,minAge,maxAge,benefit,highlights
iselect-smart360,iSelect Smart360 Term Plan,iSelect Smart360,Term,type-term,"₹12,400/yr",12400,₹1 Crore,10000000,10 – 40 yrs,Regular / Limited / Single,100% Sum Assured,None (Pure Term),80C + 10(10D),Optional Rider,On Critical Illness (Rider),None,No,99.07%,97,97,#0369A1,Pure Protection,Conservative|Moderate|Aggressive,18,65,"Pure life protection with return of premium option and optional critical illness rider. Flexible premium payment — regular, limited, or single pay. Accidental death benefit available.",Return of premium option|Critical illness add-on|Accidental death benefit|Flexible pay terms
iselect-plus,iSelect+ Term Plan,iSelect+,Term,type-term,"₹8,200/yr",8200,₹50 Lakhs,5000000,10 – 35 yrs,Regular,100% Sum Assured,None,80C + 10(10D),Not Available,Not Available,None,No,99.07%,88,88,#0369A1,Pure Protection,Conservative|Moderate,18,60,"Affordable online term plan for straightforward life cover. Simple and transparent — no add-ons, maximum protection at minimum cost.",Online purchase|Lowest premium|Simple & transparent|Instant policy issuance
easy-bima,Easy Bima Plan,Easy Bima,Term,type-term,"₹5,500/yr",5500,₹25 Lakhs,2500000,5 – 20 yrs,Regular,100% Sum Assured,None,80C + 10(10D),Not Available,Not Available,None,No,99.07%,74,74,#0369A1,Pure Protection,Conservative,18,55,"Entry-level term plan designed for first-time insurance buyers. Simple documentation, fast approval, and affordable coverage for essential family protection.",Entry-level plan|Minimal documentation|Fast approval|Ideal for first-time buyers
invest-4g,Invest 4G,Invest 4G,ULIP,type-ulip,"₹25,000/yr",25000,₹5 Lakhs,500000,10 – 30 yrs,Regular / Limited / Single,Higher of SA or Fund Value,Fund Value at NAV,80C + 10(10D),Optional Rider,Optional Rider,After 5 yrs (lock-in),After 5 yrs,99.07%,88,88,#16A34A,Wealth Creation|Tax Saving,Moderate|Aggressive,18,65,"Market-linked growth with 8 fund options ranging from pure equity to debt. Flexible premium, partial withdrawal after 5 years, and loyalty additions from year 6 onwards.",8 fund options|Loyalty additions from yr 6|Partial withdrawal post lock-in|Online fund switching
guaranteed-wealth-plus,Guaranteed Wealth Plus,Guaranteed Wealth Plus,ULIP,type-ulip,"₹50,000/yr",50000,₹10 Lakhs,1000000,10 – 25 yrs,Limited (5/7/10 yrs),Higher of SA or Fund Value,Fund Value + Guaranteed Additions,80C + 10(10D),Available,Available,After 5 yrs,After 5 yrs,99.07%,82,82,#16A34A,Wealth Creation|Retirement Planning,Moderate|Aggressive,18,60,ULIP with guaranteed additions on maturity — combines market upside with a minimum guaranteed floor. Ideal for investors who want equity exposure without full downside risk.,Guaranteed additions on maturity|Limited pay option|Market-linked + guaranteed floor|4 fund options
future-smart,Future Smart Plan,Future Smart,ULIP,type-ulip,"₹36,000/yr",36000,₹7 Lakhs,700000,10 – 20 yrs,Regular,Higher of SA or Fund Value,Fund Value at NAV,80C + 10(10D),Optional Rider,On Critical Illness,After 5 yrs,After 5 yrs,99.07%,79,79,#16A34A,Wealth Creation|Child's Future,Aggressive,18,55,Aggressive growth ULIP with systematic transfer plan (STP) facility. Automatically shifts investments from equity to debt as the policy term progresses — ideal for goal-based investing.,STP auto-rebalancing|Goal-based investment|Premium redirection|Equity-to-debt glide path
jeevan-nivesh,Jeevan Nivesh Plan,Jeevan Nivesh,Savings,type-endow,"₹18,500/yr",18500,₹10 Lakhs,1000000,10 – 20 yrs,Regular / Limited,100% SA + Accrued Bonus,SA + Vested Bonus,80C + 10(10D),Optional Rider,Optional Rider,After 3 yrs,After 3 yrs,99.07%,82,82,#D97706,Tax Saving|Wealth Creation,Conservative|Moderate,18,60,Participating endowment plan with guaranteed bonuses. Provides life cover plus disciplined savings with bonus additions. Surrender value available from year 3.,Guaranteed bonuses|Loan against policy|Surrender value from yr 3|Participating plan
guaranteed-income4life,Guaranteed Income4Life,Income4Life,Savings,type-endow,"₹30,000/yr",30000,₹12 Lakhs,1200000,12 – 25 yrs,Limited (5/7/10 yrs),105% of Premiums Paid,Guaranteed Income Payouts,80C + 10(10D),Not Available,Not Available,After 2 yrs,After 3 yrs,99.07%,85,85,#D97706,Retirement Planning|Tax Saving,Conservative,18,60,"Guaranteed regular income plan — pay for a limited term, receive income payouts for the rest of the policy period. Perfect for building a predictable income stream post-retirement.",Guaranteed income payouts|Short premium payment term|Income during policy term|Tax-free maturity
monthly-income-plan,Monthly Income Advantage Plan,Monthly Income Plan,Savings,type-endow,"₹20,000/yr",20000,₹8 Lakhs,800000,10 – 20 yrs,Regular,SA + Monthly Income Benefit,SA + Accumulated Monthly Income,80C + 10(10D),Not Available,Optional Rider,After 3 yrs,After 3 yrs,99.07%,78,78,#D97706,Retirement Planning|Tax Saving,Conservative,18,55,Monthly income benefit plan that provides a guaranteed monthly payout in addition to the sum assured. Ideal for those seeking regular supplemental income alongside insurance protection.,Monthly income benefit|Guaranteed payouts|Dual benefit: life cover + income|Flexible policy term
guaranteed-savings-plan,Guaranteed Savings Plan,Guaranteed Savings,Savings,type-endow,"₹24,000/yr",24000,₹10 Lakhs,1000000,10 – 20 yrs,Limited (5/7 yrs),100% SA,Guaranteed Maturity Benefit,80C + 10(10D),Not Available,Not Available,After 2 yrs,After 3 yrs,99.07%,80,80,#D97706,Tax Saving|Wealth Creation,Conservative|Moderate,18,60,Non-participating savings plan with fully guaranteed maturity and death benefits. Zero market risk — ideal for risk-averse clients who want certainty of returns.,100% guaranteed maturity|Non-participating (no market risk)|Limited pay convenience|Zero surprises
smart-junior,Smart Junior Plan,Smart Junior,Child Plan,type-child,"₹15,000/yr",15000,₹20 Lakhs,2000000,10 – 25 yrs,Regular,SA + Premium Waiver for Child,SA + Bonus (education milestones),80C + 10(10D),Not Available,On Parent Death ✓,After 3 yrs,After 3 yrs,99.07%,94,94,#6D28D9,Child's Future,Conservative|Moderate,18,55,"Dedicated education funding plan with automatic premium waiver on parent's demise — policy continues uninterrupted. Milestone payouts at key education junctions (age 18, 21, 23).",Premium waiver on parent death|Milestone education payouts|Policy continues if parent dies|Bonus additions
pension4life,Pension4Life Plan,Pension4Life,Retirement,type-retire,"₹40,000/yr",40000,₹15 Lakhs,1500000,10 – 30 yrs,Regular / Single,Higher of SA or Fund Value,Vesting Benefit → Annuity,80CCC + 10(10A),Not Available,Not Available,After 5 yrs,No,99.07%,89,89,#0F766E,Retirement Planning,Conservative|Moderate,25,70,Deferred pension plan that accumulates a retirement corpus and converts it to a lifelong annuity on vesting. 1/3rd of the corpus can be commuted tax-free; rest provides regular pension.,Lifelong pension after vesting|1/3 corpus tax-free commutation|Section 80CCC deduction|Flexible vesting age 45–75
new-immediate-annuity,New Immediate Annuity Plan,Immediate Annuity,Retirement,type-retire,"₹1,00,000 (single)",100000,N/A,0,Lifelong,Single Premium,Return of Purchase Price,Lifelong Annuity Payouts,80C,Not Available,Not Available,Limited options,No,99.07%,83,83,#0F766E,Retirement Planning,Conservative,45,80,"Immediate annuity plan — invest a lump sum and receive guaranteed pension payouts from the very next month. 8 annuity options including joint life, return of purchase price, and increasing annuity.",Pension from next month|8 annuity payout options|Joint life annuity available|Return of purchase price
cancer-secure,Cancer Secure Benefit Plan,Cancer Secure,Health,type-health,"₹6,000/yr",6000,₹25 Lakhs,2500000,5 – 20 yrs,Regular,SA on diagnosis of cancer,None,80D,Cancer-specific ✓,On Cancer Diagnosis,None,No,99.07%,76,76,#DC2626,Pure Protection,Conservative|Moderate|Aggressive,18,65,"Dedicated cancer insurance benefit plan covering early, major, and advanced stage cancer. Lump sum payout on cancer diagnosis — no bills to submit. Premium waiver on cancer diagnosis.",3-stage cancer coverage|Lump sum on diagnosis|Premium waiver on diagnosis|Section 80D deduction